Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff
1.0,205.0,205.0,10.3,11.8,2.5,2.65,6.43,6.55,0.12
2.0,205.0,205.0,10,11.0,,2.37,6.56,6.49,-0.07
3.0,205.0,205.0,,,,,,,
4.0,205.0,205.0,10,10.3,2.34,2.75,6.97,7.24,0.27
5.0,205.0,205.0,,,,,,,
6.0,205.0,205.0,10,10.2,2.93,2.29,6.99,7.2,0.21
7.0,205.0,205.0,10.1,10.9,2.88,2.6,7.04,7.22,0.18
8.0,205.0,205.0,10,10.4,2.49,2.58,6.64,6.85,0.21
9.0,404.32,205.0,21.3,11.8,2.8,2.67,6.78,6.5,-0.28
10.0,205.0,205.0,10,10.3,2.42,2.28,6.79,7.17,0.38
11.0,205.0,205.0,10,10.3,2.55,2.56,6.5,6.51,0.01
12.0,404.32,205.0,21.2,11.8,2.7,2.52,7.06,6.9,-0.16
13.0,205.0,205.0,10.4,11.8,2.77,2.6,7.12,6.67,-0.45
14.0,205.0,205.0,10.2,11.1,2.34,2.27,6.83,6.67,-0.16
15.0,205.0,205.0,9.4,10.8,2.91,2.72,7.5,6.97,-0.53
16.0,205.0,205.0,,,,,,,
17.0,205.0,205.0,10,10.3,2.37,2.33,6.91,7.03,0.12
18.0,205.0,205.0,,,,,,,
19.0,205.0,205.0,,,,,,,
20.0,205.0,205.0,10.2,11.0,2.37,2.28,6.77,6.71,-0.06
21.0,205.0,205.0,,,,,,,
22.0,205.0,205.0,,,,,,,
23.0,205.0,205.0,10.2,11.0,2.82,2.65,7.11,7.03,-0.08
24.0,205.0,205.0,,,,,,,
25.0,205.0,205.0,9.4,10.9,2.46,2.3,7.13,6.71,-0.42
26.0,205.0,205.0,10,10.3,2.92,2.7,7.03,7.38,0.35
27.0,205.0,205.0,10,10.4,2.37,2.75,6.91,7.18,0.27
28.0,205.0,205.0,10.1,10.9,2.55,2.44,6.43,6.39,-0.04
29.0,205.0,205.0,10.4,11.6,2.34,2.75,6.7,6.43,-0.27
30.0,205.0,205.0,10.4,11.8,2.92,2.72,6.76,6.38,-0.38
31.0,205.0,205.0,10.1,11.0,2.37,2.27,6.84,6.73,-0.11
32.0,205.0,205.0,10,10.4,2.58,2.52,6.44,6.52,0.08
33.0,205.0,205.0,10,10.4,2.46,2.44,6.7,6.7,0.0
34.0,404.32,205.0,23,12.2,2.63,2.54,6.68,6.62,-0.06
35.0,205.0,205.0,10.2,11.0,2.37,2.41,6.77,6.41,-0.36
36.0,205.0,205.0,,,,,,,
37.0,205.0,205.0,,,,,,,
38.0,205.0,205.0,10.3,11.1,2.37,2.72,6.71,6.78,0.07
39.0,205.0,205.0,10.1,10.3,2.42,2.36,6.72,6.97,0.25
40.0,205.0,205.0,10,11.1,2.37,2.32,6.91,6.54,-0.37
41.0,205.0,205.0,,,,,,,
42.0,205.0,205.0,,,,,,,
43.0,205.0,205.0,10.2,11.0,2.78,2.62,7.24,7.1,-0.14
44.0,205.0,205.0,,,,,,,
45.0,205.0,205.0,10.2,11.0,2.91,2.75,6.91,6.77,-0.14
46.0,205.0,205.0,,,,,,,
47.0,205.0,205.0,10.2,11.1,2.34,2.75,6.83,6.72,-0.11
48.0,404.32,205.0,21.1,11.3,2.88,2.27,6.65,6.55,-0.1
49.0,205.0,205.0,10.2,10.9,2.93,2.38,6.85,6.53,-0.32
50.0,205.0,205.0,10,10.3,2.4,2.7,6.83,7.38,0.55
51.0,205.0,205.0,,,,,,,
52.0,205.0,205.0,,,,,,,
53.0,205.0,205.0,10.1,10.9,2.49,2.38,6.58,6.53,-0.05
