Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Stride Length UT (ft),Stride Length GO (ft),Rank Time UT,Rank Time GO,Rank Stride Length UT (ft),Rank Stride Length GO (ft),Rank diff,Mean Rank,Rating
152.0,205.0,205.0,10.2,10.9,2.59,2.72,7.75,6.9,-0.85,,,,,,25.43,22.64,206.0,95.0,1.0,75.0,275.0,130.4,56.9
88.0,205.0,205.0,9.4,10.8,2.88,2.75,7.57,6.91,-0.66,,,,,,24.84,22.67,4.0,80.0,2.0,69.0,271.0,85.2,74.1
132.0,205.0,205.0,9.4,10.8,2.88,2.75,7.57,6.89,-0.68,,,,,,24.84,22.6,4.0,80.0,2.0,88.0,272.0,89.2,72.6
15.0,205.0,205.0,9.4,10.8,2.91,2.72,7.5,6.97,-0.53,,,,,,24.61,22.87,4.0,80.0,4.0,59.0,259.0,81.2,75.6
272.0,205.0,205.0,9.4,10.9,2.91,2.75,7.5,6.85,-0.65,,,,,,24.61,22.47,4.0,95.0,4.0,91.0,270.0,92.8,71.2
278.0,205.0,205.0,10.1,10.9,2.72,2.7,7.45,6.98,-0.47,,,,,,24.44,22.9,122.0,95.0,6.0,55.0,251.0,105.8,66.3
253.0,205.0,205.0,9.4,10.8,2.93,2.75,7.44,6.91,-0.53,,,,,,24.41,22.67,4.0,80.0,7.0,69.0,259.0,83.8,74.7
128.0,205.0,205.0,10.4,11.8,2.65,2.48,7.43,7.02,-0.41,,,,,,24.38,23.03,270.0,269.0,8.0,52.0,243.0,168.4,42.4
114.0,205.0,205.0,10.2,11.0,2.72,2.56,7.38,7.29,-0.09,,,,,,24.21,23.92,206.0,148.0,9.0,14.0,135.0,102.4,67.6
86.0,205.0,205.0,9.4,10.8,2.97,2.78,7.35,6.83,-0.52,,,,,,24.11,22.41,4.0,80.0,10.0,109.0,256.0,91.8,71.6
193.0,205.0,205.0,10.1,11.0,2.77,2.61,7.33,7.14,-0.19,,,,,,24.05,23.43,122.0,148.0,11.0,31.0,189.0,100.2,68.4
112.0,205.0,205.0,10.2,11.0,2.75,2.61,7.32,7.14,-0.18,,,,,,24.02,23.43,206.0,148.0,12.0,31.0,184.0,116.2,62.3
398.0,205.0,205.0,10.0,10.4,2.8,2.65,7.32,7.43,0.11,,,,,,24.02,24.38,34.0,29.0,12.0,4.0,70.0,29.8,95.3
315.0,205.0,205.0,9.4,10.9,2.99,2.75,7.28,6.85,-0.43,,,,,,23.88,22.47,4.0,95.0,14.0,91.0,245.0,89.8,72.4
316.0,205.0,205.0,9.4,10.8,2.99,2.75,7.28,6.91,-0.37,,,,,,23.88,22.67,4.0,80.0,14.0,69.0,236.0,80.6,75.9
